"State","County","Hospital Type","Hospital","Licensed Beds","Staffed Beds","ICU Beds","Bed Utilization"
"Oklahoma","Oklahoma","Long Term Acute Care Hospital","Select Specialty Hospital - Oklahoma City",72,72,11,0.8841
"Ohio","Lucas","Psychiatric Hospital","Northwest Ohio Psychiatric Hospital",116,116,0,0.8838
"Texas","Bexar","Long Term Acute Care Hospital","PAM Specialty Hospital of San Antonio (FKA Promise Specialty Hospital - San Antonio)",26,26,6,0.8837
"New York","Ontario","Short Term Acute Care Hospital","UR Medicine Thompson Health (AKA FF Thompson Hospital)",113,62,7,0.8833
"West Virginia","Cabell","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Huntington (FKA HealthSouth Rehabilitation Hospital of Huntington)",62,62,0,0.8832
"Louisiana","Orleans","Psychiatric Hospital","Seaside Behavioral Center - New Orleans",47,47,0,0.8831
"Louisiana","Rapides","Long Term Acute Care Hospital","Riverside Hospital of Louisiana",28,28,4,0.8829
"New York","New York City","Short Term Acute Care Hospital","Mount Sinai Medical Center (AKA the Mount Sinai Hospital)",1134,1037,75,0.8817
"Oklahoma","Pittsburg","Psychiatric Hospital","Carl Albert Community Mental Health Center",15,15,0,0.8814
"Missouri","Clay","Psychiatric Hospital","Signature Psychiatric Hospital",36,72,0,0.8812
"Virginia","Fredericksburg","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Fredericksburg",58,58,0,0.8808
"District of Columbia","District of Columbia","Psychiatric Hospital","Psychiatric Institute of Washington",124,130,0,0.8801
"Utah","Utah","Psychiatric Hospital","Utah State Hospital",384,341,0,0.88
"Arizona","Maricopa","Psychiatric Hospital","Quail Run Behavioral Health",102,102,0,0.8797
"California","Los Angeles","Rehabilitation Hospital","California Rehabilitation Institute (FKA Century City Doctors Hospital)",138,138,0,0.8795
"Georgia","Fulton","Long Term Acute Care Hospital","Shepherd Center",152,152,24,0.8795
"New York","Suffolk","Short Term Acute Care Hospital","John T Mather Memorial Hospital of Port Jefferson (AKA Mather Hospital)",248,195,12,0.8794
"Kansas","Wyandotte","Long Term Acute Care Hospital","Select Specialty Hospital - Kansas City",40,40,6,0.879
"New York","Monroe","Short Term Acute Care Hospital","Highland Hospital",261,241,14,0.879
"Texas","Harris","Psychiatric Hospital","UTHealth Harris County Psychiatric Center",251,251,0,0.8787
"Wisconsin","Wood","Short Term Acute Care Hospital","Marshfield Medical Center - Marshfield (FKA Ministry Saint Josephs Hospital)",504,201,12,0.8783
"New York","Suffolk","Psychiatric Hospital","Brunswick Hospital Center Psychiatric Hospital (AKA Brunswick Hall)",124,124,0,0.8776
"Texas","Bexar","Psychiatric Hospital","Laurel Ridge Treatment Center",208,208,1,0.8776
"Texas","Wichita","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Wichita Falls (FKA HealthSouth Rehabilitation Hospital of Wichita Falls)",63,63,0,0.8775
"Minnesota","Wright","Psychiatric Hospital","Community Behavioral Health Hospital - Annandale",16,16,0,0.8772
"Louisiana","Jefferson","Long Term Acute Care Hospital","Ochsner Extended Care Hospital",32,32,5,0.8771
"Oregon","Marion","Psychiatric Hospital","Oregon State Hospital - Salem",577,577,0,0.8769
"Michigan","Macomb","Long Term Acute Care Hospital","Select Specialty Hospital - Macomb",36,36,15,0.8763
"New Jersey","Burlington","Rehabilitation Hospital","Kessler Institute for Rehabilitation - Marlton (FKA Marlton Rehabilitation Hospital)",61,61,0,0.8761
"Louisiana","Avoyelles","Psychiatric Hospital","Beacon Behavioral Hospital - Bunkie",18,18,0,0.876
"Pennsylvania","Philadelphia","Short Term Acute Care Hospital","Hospital of the University of Pennsylvania",790,748,110,0.876
"Florida","Escambia","Long Term Acute Care Hospital","Select Specialty Hospital - Pensacola",75,75,14,0.8753
"South Carolina","Horry","Psychiatric Hospital","Lighthouse Behavioral Health Hospital",105,95,0,0.8752
"Virginia","Danville","Psychiatric Hospital","Southern Virginia Mental Health Institute",72,72,0,0.8745
"South Carolina","Charleston","Short Term Acute Care Hospital","Medical University of South Carolina",713,467,114,0.8744
"Alabama","Baldwin","Short Term Acute Care Hospital","Thomas Hospital",150,129,17,0.8743
"Pennsylvania","Lancaster","Rehabilitation Hospital","Lancaster Rehabilitation Hospital",59,59,0,0.8741
"Virginia","James City","Short Term Acute Care Hospital","Eastern State Hospital",40,40,7,0.8739
"Arizona","Maricopa","Long Term Acute Care Hospital","Select Specialty Hospital - Phoenix",48,48,11,0.8738
"California","Los Angeles","Childrens Hospital","Childrens Hospital Los Angeles",495,379,48,0.8736
"West Virginia","Monongalia","Short Term Acute Care Hospital","JW Ruby Memorial Hospital",690,613,65,0.8735
"Georgia","Chatham","Psychiatric Hospital","Georgia Regional Hospital-Savannah",262,112,0,0.8733
"Texas","Nueces","Rehabilitation Hospital","Corpus Christi Rehabilitation Hospital (FKA Esplanade Rehabilitation Hospital)",35,35,4,0.8733
"Washington","Thurston","Short Term Acute Care Hospital","Providence St Peter Hospital",390,307,42,0.8733
"Florida","Marion","Short Term Acute Care Hospital","Ocala Regional Medical Center",256,200,66,0.8731
"New York","New York City","Psychiatric Hospital","NY Gracie Square Hospital",133,133,0,0.873
"New York","Westchester","Rehabilitation Hospital","Burke Rehabilitation Hospital",150,150,0,0.8729
"North Carolina","Wayne","Psychiatric Hospital","Cherry Hospital",259,259,0,0.8725
"Florida","Lake","Short Term Acute Care Hospital","Orlando Health South Lake Hospital",170,140,16,0.8724
"South Carolina","Spartanburg","Rehabilitation Hospital","Spartanburg Rehabilitation Institute",40,40,4,0.8722
"South Carolina","Horry","Short Term Acute Care Hospital","Grand Strand Medical Center",371,325,56,0.8716
"Alabama","Mobile","Short Term Acute Care Hospital","USA Health University Hospital (FKA University of South Alabama Medical Center)",406,183,32,0.8715
"New York","Suffolk","Short Term Acute Care Hospital","South Shore University Hospital (FKA Southside Hospital)",305,284,36,0.8708
"Texas","El Paso","Psychiatric Hospital","El Paso Psychiatric Center",74,74,0,0.8706
"South Carolina","York","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Rock Hill",50,50,0,0.8703
"Tennessee","Shelby","Long Term Acute Care Hospital","Select Specialty Hospital - Memphis",39,39,8,0.87
"Pennsylvania","Montgomery","Psychiatric Hospital","The Horsham Clinic",206,206,0,0.8688
"Georgia","DeKalb","Short Term Acute Care Hospital","Emory University Hospital",605,601,114,0.8685
"Florida","Duval","Rehabilitation Hospital","Brooks Rehabilitation Hospital",160,160,0,0.8681
"Florida","Sarasota","Long Term Acute Care Hospital","PAM Specialty Hospital of Sarasota (FKA Complex Care Hospital at Ridgelake)",40,40,6,0.8679
"California","Contra Costa","Short Term Acute Care Hospital","Contra Costa Regional Medical Center",124,124,8,0.8671
"Illinois","Champaign","Psychiatric Hospital","The Pavilion Hospital",77,77,0,0.8671
"Louisiana","Ouachita","Long Term Acute Care Hospital","Louisiana Extended Care of West Monroe",21,21,5,0.8669
"Alabama","Jefferson","Rehabilitation Hospital","Encompass Health Lakeshore Rehabilitation Hospital (FKA Healthsouth Lakeshore Hospital)",100,100,0,0.8667
"Georgia","Richmond","Rehabilitation Hospital","Walton Rehabilitation Hospital (FKA HealthSouth Walton Rehabilitation Hospital)",60,60,0,0.8663
"Pennsylvania","Dauphin","Short Term Acute Care Hospital","UPMC Pinnacle Harrisburg (FKA Harrisburg Hospital)",627,493,20,0.8661
"New York","Kings","Short Term Acute Care Hospital","NYU Langone Hospital - Brooklyn (FKA NYU Lutheran Medical Center)",444,323,18,0.866
"Arizona","Pima","Short Term Acute Care Hospital","Tucson Medical Center (AKA TMC HealthCare)",596,441,36,0.8657
"New Jersey","Ocean","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Toms River (FKA Healthsouth Rehabilitation Hospital of Toms River)",92,98,0,0.8654
"Washington","Pierce","Psychiatric Hospital","Western State Hospital",806,771,0,0.8654
"Illinois","Winnebago","Rehabilitation Hospital","Van Matre Encompass Health Rehabilitation Hospital (FKA Van Matre HealthSouth Rehabilitation Hospital)",61,61,0,0.8653
"Arizona","Maricopa","Psychiatric Hospital","Oasis Behavioral Health",82,146,0,0.8648
"Florida","Palm Beach","Long Term Acute Care Hospital","Select Specialty Hospital - Palm Beach",60,60,11,0.8644
"Tennessee","Shelby","Psychiatric Hospital","Lakeside Behavioral Health System (FKA Lakeside Hospital)",290,298,0,0.8642
"New York","Monroe","Short Term Acute Care Hospital","Rochester General Hospital",528,470,40,0.864
"California","Los Angeles","Psychiatric Hospital","Resnick Neuropsychiatric Hospital",74,74,1,0.8626
"New Mexico","Dona Ana","Rehabilitation Hospital","Rehabilitation Hospital of Southern New Mexico",40,40,3,0.8623
"New Mexico","Doña Ana","Rehabilitation Hospital","Rehabilitation Hospital of Southern New Mexico",40,40,3,0.8623
"Virginia","Albemarle","Rehabilitation Hospital","UVA Encompass Health Rehabilitation Hospital (FKA UVA-HealthSouth Rehabilitation Hospital)",50,50,0,0.8623
"Michigan","Kent","Psychiatric Hospital","Forest View Hospital",108,108,0,0.862
"Kentucky","Fayette","Long Term Acute Care Hospital","Continuing Care Hospital",23,23,4,0.861
"Massachusetts","Worcester","Short Term Acute Care Hospital","UMass Memorial Medical Center - University Campus",421,609,82,0.8607
"Arkansas","Garland","Rehabilitation Hospital","CHI St Vincent Hot Springs Rehabilitation Hospital",40,40,3,0.8606
"Arizona","Maricopa","Rehabilitation Hospital","HonorHealth Rehabilitation Hospital (FKA Scottsdale Rehabilitation Hospital)",50,50,0,0.8605
"New York","Chemung","Short Term Acute Care Hospital","St Josephs Hospital",125,20,4,0.8602
"Tennessee","Davidson","Short Term Acute Care Hospital","Vanderbilt University Medical Center",1025,626,229,0.8602
"Tennessee","Knox","Long Term Acute Care Hospital","Select Specialty Hospital - North Knoxville",33,68,11,0.8601
"Texas","Fort Bend","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Sugar Land (FKA Healthsouth Rehabilitation Hospital - Sugarland)",50,50,0,0.86
"Florida","Orange","Long Term Acute Care Hospital","Select Specialty Hospital - Orlando North",35,35,9,0.8599
"Oklahoma","Lincoln","Critical Access Hospital","Stroud Regional Medical Center",25,25,4,0.8598
"Idaho","Bingham","Psychiatric Hospital","State Hospital South",120,106,0,0.8597
"Indiana","Marion","Psychiatric Hospital","NeuroPsychiatric Hospital of Indianapolis",50,50,0,0.8596
"Massachusetts","Bristol","Psychiatric Hospital","Corrigan Mental Health Center (AKA Dr John C Corrigan Mental Health Center)",16,16,0,0.8591
"Oregon","Lane","Short Term Acute Care Hospital","PeaceHealth Sacred Heart Medical Center at RiverBend (FKA Sacred Heart Riverbend)",347,383,46,0.8583
"Missouri","St. Louis City","Short Term Acute Care Hospital","SSM Health Saint Louis University Hospital",344,292,79,0.8579
"California","Butte","Short Term Acute Care Hospital","Oroville Hospital",133,153,10,0.8576
"Massachusetts","Suffolk","Short Term Acute Care Hospital","Beth Israel Deaconess Medical Center",673,694,77,0.8574
"West Virginia","Kanawha","Long Term Acute Care Hospital","Select Specialty Hospital - Charleston",32,32,11,0.8574
"California","Humboldt","Psychiatric Hospital","Humboldt County - Sempervirens Psychiatric Health Facility",16,16,0,0.8566
"New York","Rockland","Psychiatric Hospital","Rockland Psychiatric Center",415,415,0,0.8565
"New Jersey","Burlington","Psychiatric Hospital","Hampton Behavioral Health Center",120,120,0,0.8562
"Virginia","Loudoun","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Northern Virginia (FKA Healthsouth Rehabilitation Hospital of Northern Virginia)",60,60,0,0.8561
"Texas","Travis","Short Term Acute Care Hospital","Dell Seton Medical Center at the University of Texas",211,211,60,0.8552
"Texas","Travis","Short Term Acute Care Hospital","St Davids South Austin Medical Center",334,334,30,0.8552
"Georgia","Chatham","Short Term Acute Care Hospital","Memorial Health University Medical Center",512,537,20,0.855
"Florida","Marion","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Ocala (FKA HealthSouth Rehabilitation Hospital of Ocala)",70,70,0,0.8548
"Iowa","Cherokee","Psychiatric Hospital","Cherokee Mental Health Institute",58,36,0,0.8544
"Michigan","Kent","Rehabilitation Hospital","Mary Free Bed Rehabilitation Hospital",119,119,1,0.8538
"Kentucky","Fayette","Rehabilitation Hospital","Cardinal Hill Rehabilitation Hospital",158,158,0,0.8536
"New York","Saratoga","Short Term Acute Care Hospital","Saratoga Hospital",171,171,30,0.8536
"Illinois","Cook","Psychiatric Hospital","Hartgrove Hospital (AKA Hartgrove Behavioral Health System)",160,160,0,0.8535
"Oklahoma","Comanche","Psychiatric Hospital","Jim Taliaferro Community Mental Health Center",30,14,0,0.853
"Pennsylvania","Philadelphia","Short Term Acute Care Hospital","Penn Presbyterian Medical Center",350,316,44,0.8529
"Arizona","Maricopa","Psychiatric Hospital","Aurora Behavioral Health System - West (FKA Aurora Phoenix Hospital)",100,100,0,0.8528
"Iowa","Polk","Long Term Acute Care Hospital","Select Specialty Hospital - Des Moines",30,30,7,0.8524
"New Jersey","Essex","Long Term Acute Care Hospital","Columbus Hospital LTACH",63,63,10,0.8522
"Florida","Herdo","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Spring Hill (FKA Healthsouth Rehab of Spring Hill)",80,80,0,0.8521
"Florida","Alachua","Long Term Acute Care Hospital","Select Specialty Hospital - Gainesville",48,48,9,0.8519
"Florida","Miami-Dade","Long Term Acute Care Hospital","Select Specialty Hospital - Miami Lakes (FKA Promise Hospital of Miami)",60,60,15,0.8513
"Louisiana","St. Tammany","Psychiatric Hospital","Covington Behavioral Health (FKA Greenbrier Behavioral Health Hospital)",60,62,0,0.8511
"New York","Rensselaer","Short Term Acute Care Hospital","Samaritan Hospital - St Marys Campus",20,20,4,0.851
"California","San Diego","Psychiatric Hospital","Aurora San Diego Hospital",101,95,0,0.8504
"California","Fresno","Short Term Acute Care Hospital","Clovis Community Medical Center",208,208,24,0.8503
"Arizona","Maricopa","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of East Valley",60,70,5,0.8499
"Louisiana","Morehouse","Rehabilitation Hospital","Sterlington Rehabilitation Hospital",10,10,0,0.8499
"Kansas","Johnson","Rehabilitation Hospital","Rehabilitation Hospital of Overland Park",45,45,0,0.8492
"Nevada","Clark","Short Term Acute Care Hospital","Valley Hospital Medical Center",306,281,20,0.8486
"Arizona","Maricopa","Short Term Acute Care Hospital","Banner Gateway Medical Center",177,165,24,0.8477
"Michigan","Tuscola","Psychiatric Hospital","Caro Center",118,118,0,0.8476
"Ohio","Hamilton","Psychiatric Hospital","Blueridge Vista Health and Wellness",44,44,0,0.8471
"Massachusetts","Suffolk","Short Term Acute Care Hospital","Massachusetts General Hospital",1043,993,103,0.847
"North Carolina","Harnett","Psychiatric Hospital","Good Hope Hospital",16,16,0,0.8469
"California","Sacramento","Short Term Acute Care Hospital","University of California Davis Medical Center (AKA UC Davis Medical Center)",625,598,84,0.8465
"California","Riverside","Long Term Acute Care Hospital","Kindred Hospital Riverside (FKA Vista Hospital of Riverside)",40,40,8,0.8464
"North Carolina","Durham","Long Term Acute Care Hospital","Select Specialty Hospital - Durham",30,30,5,0.8452
"Kentucky","Boone","Rehabilitation Hospital","Gateway Rehabilitation Hospital",40,40,0,0.8447
"District of Columbia","District of Columbia","Short Term Acute Care Hospital","MedStar Georgetown University Hospital",609,393,57,0.8444
"Missouri","St. Charles","Psychiatric Hospital","CenterPointe Hospital",104,104,0,0.8444
"Ohio","Franklin","Short Term Acute Care Hospital","The James Cancer Hospital and Solove Research Institute",308,344,44,0.8441
"Pennsylvania","Philadelphia","Psychiatric Hospital","Fairmount Behavioral Health System (FKA Fairmount Hospital)",239,172,1,0.8437
"Missouri","St. Louis","Short Term Acute Care Hospital","Christian Hospital",482,205,18,0.8434
"Montana","Musselshell","Critical Access Hospital","Roundup Memorial Healthcare",25,25,4,0.8433
"North Carolina","Durham","Short Term Acute Care Hospital","Duke University Hospital",979,961,103,0.8428
"Colorado","Arapahoe","Long Term Acute Care Hospital","Craig Hospital",93,93,14,0.8427
"New Hampshire","Merrimack","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Concord (FKA HealthSouth Rehabilitation Hospital of Concord)",50,50,3,0.8426
"Wisconsin","Marathon","Psychiatric Hospital","North Central Health Care - Wausau Campus",16,16,0,0.8425
"Illinois","Cook","Psychiatric Hospital","Chicago Behavioral Hospital",138,145,0,0.8422
"New Jersey","Monmouth","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Tinton Falls (FKA HealthSouth Rehabilitation Hospital of Tinton Falls)",60,60,0,0.8421
"California","Santa Clara","Short Term Acute Care Hospital","Regional Medical Center of San Jose",264,258,34,0.8418
"Texas","Nueces","Rehabilitation Hospital","PAM Rehabilitation Hospital and LTACH of Corpus Christi",40,19,2,0.8414
"Florida","Okaloosa","Short Term Acute Care Hospital","Fort Walton Beach Medical Center",237,189,23,0.8409
"Virginia","Richmond City","Short Term Acute Care Hospital","VCU Medical Center Main Hospital",811,695,113,0.8405
"Virginia","Virginia Beach","Short Term Acute Care Hospital","Sentara Princess Anne Hospital",174,160,16,0.8405
"North Carolina","Buncombe","Short Term Acute Care Hospital","Mission Hospital - Memorial Campus",815,679,146,0.8404
"Montana","Granite","Critical Access Hospital","Granite County Medical Center",25,25,4,0.8401
"New Jersey","Mercer","Short Term Acute Care Hospital","Capital Health Regional Medical Center",237,134,32,0.8401
"Texas","Collin","Short Term Acute Care Hospital","Baylor Scott & White the Heart Hospital Baylor - Plano",106,110,20,0.8398
"Florida","Alachua","Short Term Acute Care Hospital","North Florida Regional Medical Center",432,381,41,0.8397
"Tennessee","Madison","Rehabilitation Hospital","West Tennessee Healthcare Rehabilitation Hospital Jackson (FKA Spire Jackson Rehabilitation Hospital)",48,48,0,0.8395
"Minnesota","Otter Tail","Psychiatric Hospital","Community Behavioral Health Hospital - Fergus Falls",16,16,0,0.8394
"New Mexico","Bernalillo","Psychiatric Hospital","Haven Behavioral Hospital of Albuquerque",48,48,0,0.8394
"New Hampshire","Rockingham","Rehabilitation Hospital","Northeast Rehabilitation Hospital - Salem",67,67,0,0.8391
"Idaho","Kootenai","Rehabilitation Hospital","Rehabilitation Hospital of the Northwest",30,30,9,0.8388
"Texas","Harris","Long Term Acute Care Hospital","Cornerstone Specialty Hospitals Houston Medical Center",35,35,16,0.8386
"Texas","Travis","Psychiatric Hospital","Austin Lakes Hospital",58,58,0,0.8386
"New York","New York City","Short Term Acute Care Hospital","NewYork-Presbyterian Lower Manhattan Hospital (AKA New York Downtown Hospital)",180,132,20,0.8381
"Texas","Tarrant","Psychiatric Hospital","Mesa Springs",72,72,2,0.838
"New York","Kings","Short Term Acute Care Hospital","NewYork-Presbyterian Brooklyn Methodist Hospital (FKA New York Methodist Hospital)",591,516,38,0.8379
"Ohio","Lucas","Long Term Acute Care Hospital","Regency Hospital of Toledo",45,45,8,0.8379
"Kentucky","Casey","Critical Access Hospital","Casey County Hospital",24,24,4,0.8375
"North Carolina","Cumberland","Short Term Acute Care Hospital","Cape Fear Valley Medical Center",634,490,48,0.8375
"Alabama","Shelby","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Shelby County (FKA HealthSouth Pelham)",34,34,0,0.8372
"Michigan","Wayne","Rehabilitation Hospital","DMC Rehabilitation Institute of Michigan",69,69,1,0.8372
"Florida","Pinellas","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Largo (FKA Healthsouth Rehabilitation Hospital of Largo)",70,70,6,0.8369
"New York","Suffolk","Short Term Acute Care Hospital","Long Island Community Hospital (FKA Brookhaven Memorial Hospital Medical Center)",306,209,10,0.8369
"South Carolina","Greenville","Psychiatric Hospital","The Carolina Center for Behavioral Health",138,130,0,0.8366
"New York","Onondaga","Short Term Acute Care Hospital","Upstate University Hospital - Downtown Campus",420,615,71,0.8365
"New Jersey","Bergen","Short Term Acute Care Hospital","Hackensack University Medical Center",781,687,35,0.8363
"Texas","Caldwell","Long Term Acute Care Hospital","PAM Specialty Hospital of Luling",34,34,6,0.8363
"Louisiana","Lafayette","Psychiatric Hospital","Oceans Behavioral Hospital Broussard",38,38,0,0.8355
"North Carolina","Brunswick","Psychiatric Hospital","Carolina Dunes Behavioral Health (FKA Strategic Behavioral Center - Wilmington)",40,40,0,0.8355
"California","Los Angeles","Short Term Acute Care Hospital","Mission Community Hospital",85,60,10,0.8346
"Montana","Yellowstone","Long Term Acute Care Hospital","Advanced Care Hospital of Montana",40,40,12,0.8346
"Nevada","Clark","Short Term Acute Care Hospital","MountainView Hospital",407,363,47,0.8346
"Louisiana","Red River","Rehabilitation Hospital","Specialty Rehabilitation Hospital",12,12,0,0.8345
"New York","New York City","Psychiatric Hospital","New York State Psychiatric Institute",21,21,0,0.8344
"Massachusetts","Hampden","Long Term Acute Care Hospital","Western Massachusetts Hospital",100,87,14,0.8343
"Tennessee","Hamilton","Rehabilitation Hospital","Siskin Hospital for Physical Rehab",80,86,0,0.8343
"Mississippi","Hinds","Long Term Acute Care Hospital","Select Specialty Hospital - Jackson",53,53,13,0.8334
"New Jersey","Bergen","Psychiatric Hospital","Ramapo Ridge Psychiatric Hospital",58,58,0,0.8334
"Wyoming","Niobrara","Critical Access Hospital","Niobrara Health & Life Center",24,24,4,0.833
"Washington","King","Psychiatric Hospital","Fairfax Behavioral Health (AKA Fairfax Behavioral Health Kirkland)",157,221,0,0.8327
"Texas","Dallas","Rehabilitation Hospital","Baylor Scott & White Institute for Rehabilitation - Dallas",92,92,0,0.832
"Rhode Island","Providence","Short Term Acute Care Hospital","Miriam Hospital",247,246,36,0.8319
"Montana","Prairie","Critical Access Hospital","Prairie Community Hospital",22,22,4,0.8315
"Nevada","Clark","Short Term Acute Care Hospital","Desert Springs Hospital Medical Center",293,201,34,0.8315
"Michigan","Washtenaw","Short Term Acute Care Hospital","University Hospital",1000,932,30,0.8314
"Montana","Daniels","Critical Access Hospital","Daniels Memorial Healthcare Center",25,25,4,0.8312
"Florida","Clay","Short Term Acute Care Hospital","Orange Park Medical Center",317,273,28,0.8311
"Texas","Collin","Rehabilitation Hospital","PAM Rehabilitation Hospital of Allen (FKA Twin Creeks Hospital)",40,40,0,0.8311
"Louisiana","East Baton Rouge","Long Term Acute Care Hospital","KPC Promise Hospital of Baton Rouge (FKA Promise Hospital of Baton Rouge - Main Campus)",54,50,8,0.831
"New York","Suffolk","Psychiatric Hospital","South Oaks Hospital",202,202,0,0.8309
"Indiana","Marion","Rehabilitation Hospital","Community Rehabilitation Hospital North",60,60,0,0.8308
"Vermont","Windham","Psychiatric Hospital","Brattleboro Retreat",149,119,0,0.8303
"New York","Suffolk","Short Term Acute Care Hospital","Stony Brook University Hospital",603,725,76,0.8302
"Washington","Pierce","Short Term Acute Care Hospital","St Clare Hospital",106,106,31,0.8302
"Kansas","Sedgwick","Long Term Acute Care Hospital","Select Specialty Hospital - Wichita",48,48,8,0.8299
"Louisiana","Lafayette","Long Term Acute Care Hospital","AMG Specialty Hospital - Lafayette",18,18,4,0.8297
"Texas","Nueces","Long Term Acute Care Hospital","PAM Specialty Hospital of Corpus Christi North",22,41,6,0.8295
"North Carolina","Cumberland","Long Term Acute Care Hospital","Highsmith-Rainey Specialty Hospital",66,66,8,0.8293
"Indiana","Marion","Psychiatric Hospital","Assurance Health Indianapolis",23,23,0,0.828
"Pennsylvania","Lehigh","Long Term Acute Care Hospital","Good Shepherd Specialty Hospital",32,32,5,0.8277
"Massachusetts","Suffolk","Long Term Acute Care Hospital","Lemuel Shattuck Hospital",260,260,40,0.8275
"Illinois","Cook","Short Term Acute Care Hospital","Advocate Christ Medical Center",788,711,123,0.8274
"Missouri","Camden","Psychiatric Hospital","Osage Beach Center for Cognitive Disorders",14,12,0,0.8272
"California","Los Angeles","Short Term Acute Care Hospital","Cedars-Sinai Medical Center",889,880,72,0.8269
"Pennsylvania","Dauphin","Short Term Acute Care Hospital","Penn State Health Milton S Hershey Medical Center",548,548,77,0.8268
"Minnesota","Ramsey","Short Term Acute Care Hospital","Regions Hospital",474,443,34,0.8267
"Montana","Broadwater","Critical Access Hospital","Billings Clinic Broadwater (FKA Broadwater Health Center)",25,25,4,0.8261
"District of Columbia","District of Columbia","Short Term Acute Care Hospital","MedStar Washington Hospital Center",912,701,92,0.8259
"New York","New York City","Short Term Acute Care Hospital","NewYork-Presbyterian/Weill Cornell Medical Center",862,862,214,0.8258
"Pennsylvania","Westmoreland","Psychiatric Hospital","Torrance State Hospital",362,353,0,0.8257
"Washington","King","Psychiatric Hospital","Cascade Behavioral Health Hospital",135,88,0,0.8257
"Florida","Osceola","Short Term Acute Care Hospital","Osceola Regional Medical Center",404,345,52,0.8255
"Massachusetts","Essex","Psychiatric Hospital","Haverhill Pavilion Behavioral Health Hospital (FKA the Whittier Pavilion)",10,71,0,0.8248
"Arizona","Maricopa","Short Term Acute Care Hospital","Mayo Clinic Hospital - Arizona",292,264,30,0.8246
"Montana","Roosevelt","Critical Access Hospital","Roosevelt Medical Center",25,25,6,0.8246
"Texas","Harris","Psychiatric Hospital","West Oaks Hospital",160,160,0,0.824
"Maryland","Baltimore City","Short Term Acute Care Hospital","The Johns Hopkins Hospital",1095,952,90,0.8239
"New York","Kings","Short Term Acute Care Hospital","Maimonides Medical Center",711,641,40,0.8239
"Virginia","Norfolk","Short Term Acute Care Hospital","Sentara Leigh Hospital",247,247,20,0.823
"Arkansas","Washington","Psychiatric Hospital","Vantage Point Behavioral Health Hospital (FKA Vista Health Fayetteville)",114,70,0,0.8229
"North Carolina","Nash","Long Term Acute Care Hospital","PAM Specialty Hospital of Rocky Mount (FKA LifeCare Hospitals of North Carolina)",50,50,8,0.8227
"Texas","El Paso","Psychiatric Hospital","El Paso Behavioral Health System (FKA University Behavioral Health of El Paso)",166,166,0,0.8217
"Maine","Cumberland","Psychiatric Hospital","Spring Harbor Hospital",100,100,0,0.8216
"Montana","Sweet Grass","Critical Access Hospital","Pioneer Medical Center",25,25,4,0.8213
"Tennessee","Shelby","Rehabilitation Hospital","Baptist Memorial Rehabilitation Hospital",49,49,0,0.8212
"Ohio","Hamilton","Short Term Acute Care Hospital","The Jewish Hospital - Mercy Health",209,170,54,0.821
"Montana","Liberty","Critical Access Hospital","Liberty Medical Center (FKA Liberty County Hospital)",25,25,4,0.8207
"Texas","Wichita","Psychiatric Hospital","North Texas State Hospital - Witchita Falls Campus",312,312,0,0.8203
"Connecticut","New Haven","Psychiatric Hospital","Connecticut Mental Health Center",32,32,0,0.8202
"Minnesota","Olmsted","Psychiatric Hospital","Community Behavioral Health Hospital - Rochester",16,16,0,0.82
"California","San Francisco","Short Term Acute Care Hospital","UCSF Helen Diller Medical Center at Parnassus Heights",590,785,122,0.8194
"Texas","Harris","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Cypress (FKA Healthsouth Rehabilitation Hospital of Cypress)",60,60,0,0.8193
"Georgia","Colquitt","Short Term Acute Care Hospital","Turning Point Hospital",69,43,6,0.8192
"Texas","Dallas","Rehabilitation Hospital","Methodist Rehabilitation Hospital",50,50,0,0.819
"Florida","Leon","Long Term Acute Care Hospital","Select Specialty Hospital - Tallahassee",48,48,11,0.8183
"South Dakota","Minnehaha","Long Term Acute Care Hospital","Select Specialty Hospital - South Dakota",24,24,5,0.8182
"Florida","Hillsborough","Short Term Acute Care Hospital","Tampa General Hospital (AKA Florida Health Sciences Center)",1006,898,101,0.8176
"California","Los Angeles","Short Term Acute Care Hospital","College Medical Center (FKA Pacific Hospital of Long Beach)",121,221,8,0.8175
"Louisiana","Lincoln","Psychiatric Hospital","Serenity Springs Specialty Hospital",18,18,0,0.8175
"Georgia","Lowndes","Psychiatric Hospital","Greenleaf Behavioral Health Hospital",113,113,0,0.8174
